id	v1_100_S_mapping	v1_100_S_precision	v1_150_S_mapping	v1_150_S_precision	v1_300_S_mapping	v1_300_S_precision	v1v2_600_P_mapping	v1v2_600_P_precision	v1v3_600_P_mapping	v1v3_600_P_precision	v3_100_S_mapping	v3_100_S_precision	v3_150_S_mapping	v3_150_S_precision	v3_300_S_mapping	v3_300_S_precision	v3_300_P_mapping	v3_300_P_precision	v3v4_600_P_mapping	v3v4_600_P_precision	v3v5_600_P_mapping	v3v5_600_P_precision	v4_100_S_mapping	v4_100_S_precision	v4_150_S_mapping	v4_150_S_precision	v4_300_S_mapping	v4_300_S_precision	v4_300_P_mapping	v4_300_P_precision	v4v5_600_P_mapping	v4v5_600_P_precision	v4v6_600_P_mapping	v4v6_600_P_precision	v5_100_S_mapping	v5_100_S_precision	v5_150_S_mapping	v5_150_S_precision	v5_300_S_mapping	v5_300_S_precision	v5_200_P_mapping	v5_200_P_precision	v5v6_300_P_mapping	v5v6_300_P_precision	v6_100_S_mapping	v6_100_S_precision	v6_150_S_mapping	v6_150_S_precision	v6_300_S_mapping	v6_300_S_precision	v6_200_P_mapping	v6_200_P_precision	v6v8_600_P_mapping	v6v8_600_P_precision	v7_100_S_mapping	v7_100_S_precision	v7_150_S_mapping	v7_150_S_precision	v7_300_S_mapping	v7_300_S_precision	v7v8_600_P_mapping	v7v8_600_P_precision	v7v9_600_P_mapping	v7v9_600_P_precision
c__0319-6E2;	0.285714	0.085408	0.285714	0.085408	0.285714	0.085408	0	0	0.285714	0.085408	0	0	0	0	0	0	0	0	0	0	0	0	0.857143	0.256225	1	0.298929	1	0.298929	0.857143	0.256225	0.857143	0.256225	0.857143	0.256225	0.285714	0.085408	0.857143	0.234386	0.714286	0.213521	0.714286	0.191682	0.714286	0.213521	0	0	0	0	0	0	0	0	0	0	0.857143	0.190708	1	0.255251	0.857143	0.256225	0.571429	0.170817	0.428571	0.128112
c__0319_6E2;	0.328358	0.091413	0.328358	0.093694	0.328358	0.098156	0.014925	0.004462	0.298507	0.089232	0.059701	0	0.059701	0.017846	0.059701	0.017846	0.059701	0.017846	0.059701	0.017846	0.044776	0.013385	0.895522	0.267697	0.925373	0.276621	0.910448	0.272159	0.686567	0.205235	0.850746	0.254313	0.820896	0.24539	0.746269	0.213955	0.80597	0.231801	0.761194	0.227543	0.746269	0.213955	0.791045	0.236466	0	0	0	0	0	0	0	0	0	0	0.880597	0.251828	0.970149	0.280879	0.925373	0.276621	0.671642	0.200773	0.41791	0.124925
c__12-24;	0.142857	0.115871	0.142857	0.115871	0.142857	0.115871	0.214286	0.160662	0.142857	0.115871	0.857143	0.251565	0.928571	0.5386	0.857143	0.505842	0.785714	0.447906	0.785714	0.447906	0.071429	0.032759	0.785714	0.397552	0.928571	0.513423	0.928571	0.513423	0.928571	0.513423	0.928571	0.513423	0.785714	0.397552	1	0.401933	1	0.401933	1	0.571359	0.857143	0.344484	0.928571	0.5386	0.857143	0.422868	1	0.478091	1	0.571359	0.928571	0.467658	0.642857	0.357212	0.857143	0.505842	0.928571	0.5386	0.928571	0.5386	0.785714	0.473083	0.142857	0.102726
c__12_24;	0.388889	0.192145	0.444444	0.253705	0.444444	0.253705	0.444444	0.253705	0.166667	0.135184	0.944444	0.263983	0.944444	0.513307	1	0.558368	1	0.558368	0.944444	0.54176	0	0	0.888889	0.47133	1	0.53078	0.944444	0.532889	0.944444	0.513307	0.833333	0.490803	0.777778	0.465325	0.944444	0.504435	1	0.549497	1	0.558368	0.888889	0.507411	1	0.558368	1	0.520556	1	0.520556	0.888889	0.507411	1	0.520556	0.777778	0.436871	0.888889	0.487341	1	0.529427	1	0.549875	0.833333	0.453856	0.388889	0.219734
c__3BR-5F;	0.090909	0.027175	0.090909	0.027175	0.090909	0.027175	0.090909	0.027175	0.090909	0.027175	0.818182	0.216783	0.909091	0.257856	0.818182	0.244578	0.727273	0.203506	0.545455	0.163052	0	0	0.909091	0.271754	0.909091	0.271754	0.909091	0.271754	0.545455	0.163052	0	0	0.545455	0.163052	0.818182	0.244578	0.818182	0.244578	0.818182	0.244578	0	0	0.727273	0.217403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__3BR_5F;	0.4	0.119572	0.415385	0.124171	0.4	0.119572	0.430769	0.128769	0.369231	0.110374	0.846154	0.25294	0.938462	0.280534	0.923077	0.275934	0.784615	0.234544	0.769231	0.229945	0	0	0.830769	0.245989	0.876923	0.259786	0.861538	0.257539	0.753846	0.225346	0	0	0.707692	0.21155	0.784615	0.234544	0.815385	0.243742	0.8	0.239143	0	0	0.707692	0.21155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__4-29;	0	0	0	0	0	0	0	0	0	0	1	0.298929	1	0.298929	1	0.298929	0.875	0.261563	0.75	0.224197	0.5	0.149465	0.875	0.223345	0.875	0.242454	0.875	0.261563	0.75	0.224197	0.625	0.186831	0.75	0.224197	0.75	0.185978	0.75	0.185978	0.75	0.185978	0.625	0.167721	0.75	0.166869	1	0.203383	1	0.27982	1	0.298929	1	0.203383	1	0.298929	0.625	0.186831	0.875	0.242454	0.75	0.224197	0.75	0.224197	0.125	0.037366
c__4C0d-2;	0.347368	0.136278	0.368421	0.165674	0.336842	0.154481	0.368421	0.168964	0.326316	0.149654	0.852632	0.387741	0.926316	0.421534	0.905263	0.415169	0.873684	0.397396	0.852632	0.391032	0.705263	0.320156	0.915789	0.419996	0.968421	0.444134	0.968421	0.444134	0.873684	0.400686	0.926316	0.424824	0.231579	0.102916	0	0	0	0	0	0	0	0	0	0	0.705263	0.323446	0.757895	0.347584	0.747368	0.342756	0.252632	0.112571	0.6	0.27517	0.852632	0.384451	0.926316	0.421534	0.894737	0.410342	0.736842	0.337928	0.284211	0.130344
c__4C0d_2;	0.278539	0.127743	0.278539	0.127743	0.273973	0.125649	0.255708	0.117272	0.273973	0.125649	0.849315	0.378093	0.872146	0.3957	0.86758	0.395033	0.817352	0.37057	0.753425	0.344107	0.648402	0.295941	0.894977	0.401889	0.96347	0.436155	0.945205	0.430633	0.894977	0.407598	0.917808	0.418068	0.26484	0.120033	0.013699	0.006283	0.013699	0.006283	0.009132	0.004188	0.009132	0.004188	0	0	0.716895	0.324498	0.767123	0.347534	0.753425	0.345534	0.246575	0.108802	0.625571	0.286897	0.876712	0.377812	0.931507	0.418642	0.913242	0.417401	0.785388	0.358765	0.273973	0.125649
c__4_29;	0.076923	0.022995	0.076923	0.022995	0.076923	0.022995	0.076923	0.022995	0.076923	0.022995	1	0.240132	1	0.28717	1	0.28717	0.923077	0.275934	0.846154	0.25294	0.846154	0.25294	1	0.27541	1	0.28717	1	0.298929	0.923077	0.275934	0.923077	0.275934	0.769231	0.229945	0.923077	0.228896	0.923077	0.228896	0.923077	0.264175	0.923077	0.228896	0.923077	0.264175	0.538462	0.149202	0.461538	0.126208	0.461538	0.137967	0.538462	0.149202	0.461538	0.137967	0.846154	0.25294	0.846154	0.25294	0.846154	0.25294	0.769231	0.229945	0.153846	0.045989
