id	v1_100_S_mapping	v1_100_S_precision	v1_150_S_mapping	v1_150_S_precision	v1_300_S_mapping	v1_300_S_precision	v1v2_600_P_mapping	v1v2_600_P_precision	v1v3_600_P_mapping	v1v3_600_P_precision	v3_100_S_mapping	v3_100_S_precision	v3_150_S_mapping	v3_150_S_precision	v3_300_S_mapping	v3_300_S_precision	v3_300_P_mapping	v3_300_P_precision	v3v4_600_P_mapping	v3v4_600_P_precision	v3v5_600_P_mapping	v3v5_600_P_precision	v4_100_S_mapping	v4_100_S_precision	v4_150_S_mapping	v4_150_S_precision	v4_300_S_mapping	v4_300_S_precision	v4_300_P_mapping	v4_300_P_precision	v4v5_600_P_mapping	v4v5_600_P_precision	v4v6_600_P_mapping	v4v6_600_P_precision	v5_100_S_mapping	v5_100_S_precision	v5_150_S_mapping	v5_150_S_precision	v5_300_S_mapping	v5_300_S_precision	v5_200_P_mapping	v5_200_P_precision	v5v6_300_P_mapping	v5v6_300_P_precision	v6_100_S_mapping	v6_100_S_precision	v6_150_S_mapping	v6_150_S_precision	v6_300_S_mapping	v6_300_S_precision	v6_200_P_mapping	v6_200_P_precision	v6v8_600_P_mapping	v6v8_600_P_precision	v7_100_S_mapping	v7_100_S_precision	v7_150_S_mapping	v7_150_S_precision	v7_300_S_mapping	v7_300_S_precision	v7v8_600_P_mapping	v7v8_600_P_precision	v7v9_600_P_mapping	v7v9_600_P_precision
c__0319-7L14;	0.214286	0.214286	0.25	0.25	0.214286	0.214286	0.25	0.25	0.214286	0.214286	0.892857	0.862359	0.964286	0.964286	0.892857	0.892857	0.857143	0.857143	0.821429	0.821429	0.75	0.75	0.857143	0.857143	0.928571	0.928571	0.821429	0.821429	0.857143	0.857143	0.857143	0.857143	0.678571	0.678571	0.857143	0.857143	0.928571	0.928571	0.892857	0.892857	0.892857	0.892857	0.821429	0.821429	0.892857	0.892857	0.892857	0.892857	0.857143	0.857143	0.857143	0.857143	0.678571	0.678571	0.892857	0.892857	0.892857	0.892857	0.892857	0.892857	0.714286	0.714286	0.428571	0.428571
c__11B-2;	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0
c__4-29-1;	0.413793	0.413793	0.413793	0.413793	0.344828	0.344828	0.413793	0.413793	0.103448	0.103448	0.965517	0.79814	0.965517	0.965517	0.965517	0.965517	0.896552	0.896552	0.758621	0.758621	0.068966	0.068966	0.896552	0.896552	0.965517	0.965517	0.965517	0.965517	0.758621	0.758621	0.896552	0.896552	0.724138	0.724138	0.862069	0.862069	0.862069	0.862069	0.862069	0.862069	0.793103	0.793103	0.793103	0.793103	0.862069	0.832622	0.896552	0.867106	0.896552	0.867106	0.827586	0.79814	0.482759	0.482759	0.827586	0.699728	0.862069	0.793103	0.931034	0.867105	0.551724	0.551724	0.37931	0.37931
c__43584;	0.058824	0.058824	0.058824	0.058824	0.058824	0.058824	0.058824	0.058824	0.058824	0.058824	0.941176	0.941176	1	1	1	1	0.941176	0.941176	0.882353	0.882353	0.529412	0.529412	0.882353	0.882353	0.941176	0.941176	0.941176	0.941176	0.764706	0.764706	0.882353	0.882353	0.882353	0.882353	0.882353	0.882353	0.941176	0.941176	0.941176	0.941176	0.882353	0.882353	0.882353	0.882353	0.588235	0.588235	0.588235	0.588235	0.588235	0.588235	0.529412	0.529412	0.529412	0.529412	0.882353	0.882353	0.882353	0.882353	0.823529	0.823529	0.764706	0.764706	0.117647	0.117647
c__661256;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
c__ABY1;	0.395604	0.395604	0.42033	0.42033	0.409341	0.409341	0.005495	0.005495	0	0	0.895604	0.895604	0.93956	0.93956	0.923077	0.923077	0.002747	0.002747	0.782967	0.782967	0.228022	0.228022	0.005495	0.005495	0.005495	0.005495	0.005495	0.005495	0.005495	0.005495	0.002747	0.002747	0.002747	0.002747	0.186813	0.186813	0.203297	0.203297	0.195055	0.195055	0.087912	0.087912	0.082418	0.082418	0.002747	0.002747	0.002747	0.002747	0.002747	0.002747	0.002747	0.002747	0.002747	0.002747	0.326923	0.324176	0.343407	0.34066	0.337912	0.337912	0.260989	0.260989	0.068681	0.068681
c__Acetothermiia;	0.259615	0.25	0.298077	0.298077	0.298077	0.298077	0.163462	0.163462	0.048077	0.048077	0.903846	0.903846	0.932692	0.932692	0.903846	0.903846	0.884615	0.884615	0.826923	0.826923	0	0	0.951923	0.951923	0.971154	0.971154	0.932692	0.932692	0.923077	0.923077	0.009615	0.009615	0.519231	0.519231	0.884615	0.884615	0.971154	0.971154	0.961538	0.961538	0.009615	0.009615	0.269231	0.269231	0	0	0	0	0	0	0	0	0	0	0.394231	0.394231	0.394231	0.394231	0.394231	0.394231	0.288462	0.288462	0.173077	0.173077
c__Acidimicrobiia;	0.32232	0.264665	0.34141	0.289286	0.333333	0.291423	0.306902	0.268272	0.229809	0.20691	0.887665	0.720858	0.936123	0.807314	0.919236	0.811476	0.65859	0.583125	0.78047	0.688772	0.651982	0.574765	0.692364	0.618111	0.725404	0.64953	0.711454	0.639796	0.650514	0.584912	0.662996	0.596305	0.597651	0.538129	0.859031	0.742037	0.906021	0.787122	0.888399	0.780823	0.832599	0.720246	0.840675	0.739446	0.522761	0.407003	0.549927	0.442808	0.543319	0.46852	0.50514	0.388607	0.362702	0.314716	0.893539	0.671809	0.93906	0.763848	0.921439	0.797315	0.679883	0.589723	0.418502	0.369991
c__Acidobacteriia;	0.24941	0.189269	0.263561	0.222476	0.261792	0.22642	0.248821	0.215821	0.243514	0.212165	0.913915	0.673358	0.960495	0.808225	0.944575	0.828877	0.885613	0.747809	0.840802	0.739756	0.700472	0.614079	0.89092	0.772324	0.944575	0.826958	0.925708	0.813565	0.863208	0.759961	0.879127	0.773869	0.754127	0.659746	0.887382	0.751433	0.938679	0.799626	0.916274	0.803866	0.835495	0.709233	0.82842	0.722582	0.801887	0.679592	0.849646	0.715622	0.836085	0.723618	0.771226	0.649807	0.622642	0.54176	0.913915	0.73545	0.959316	0.786741	0.942217	0.821586	0.738797	0.643967	0.419811	0.362272
c__Actinobacteria;	0.203179	0.134869	0.213462	0.172235	0.209255	0.174923	0.196011	0.163858	0.177002	0.149608	0.818635	0.503748	0.853069	0.668504	0.841384	0.695784	0.708632	0.555047	0.654721	0.546127	0.552976	0.460418	0.769866	0.608967	0.802275	0.655191	0.790589	0.655179	0.685416	0.567666	0.722811	0.60098	0.643658	0.537395	0.85603	0.663696	0.898255	0.703076	0.888127	0.730613	0.823309	0.638793	0.799003	0.656686	0.795887	0.626238	0.844032	0.669273	0.830788	0.680088	0.743066	0.579592	0.530072	0.439766	0.850888	0.594811	0.897008	0.671709	0.884699	0.714808	0.574166	0.461612	0.28607	0.23747
